asset_id,path,filename,catalog_category,catalog_subcategory,width,height,alpha_bbox_width,alpha_bbox_height,transparent_pixel_percentage,candidate_pools,file_exists,reason_included
pvg_door_window_doorgarage6_2_ada12dc0,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_2/CyberCity_Core_Tiles_2/DoorGarage6_2.png,DoorGarage6_2.png,DOOR_WINDOW,door_window,196,111,189,107,11.57,"[""B_HIGH_VALUE_PAINT""]",True,B_HIGH_VALUE_PAINT
pvg_door_window_doorgarage6_3_4cf0a564,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_2/CyberCity_Core_Tiles_2/DoorGarage6_3.png,DoorGarage6_3.png,DOOR_WINDOW,door_window,25,232,15,230,42.6,"[""B_HIGH_VALUE_PAINT""]",True,B_HIGH_VALUE_PAINT
pvg_door_window_doorgarage6_4_5d825727,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_2/CyberCity_Core_Tiles_2/DoorGarage6_4.png,DoorGarage6_4.png,DOOR_WINDOW,door_window,196,111,189,107,10.0,"[""B_HIGH_VALUE_PAINT""]",True,B_HIGH_VALUE_PAINT
pvg_door_window_doorgarage6_5_072d2ef0,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_2/CyberCity_Core_Tiles_2/DoorGarage6_5.png,DoorGarage6_5.png,DOOR_WINDOW,door_window,151,199,143,197,50.93,"[""B_HIGH_VALUE_PAINT""]",True,B_HIGH_VALUE_PAINT
pvg_door_window_doorgarage6_6_73452626,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_2/CyberCity_Core_Tiles_2/DoorGarage6_6.png,DoorGarage6_6.png,DOOR_WINDOW,door_window,149,199,142,197,48.98,"[""B_HIGH_VALUE_PAINT""]",True,B_HIGH_VALUE_PAINT
pvg_door_window_doorgarage6_7_da99d21f,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_2/CyberCity_Core_Tiles_2/DoorGarage6_7.png,DoorGarage6_7.png,DOOR_WINDOW,door_window,149,199,142,197,50.31,"[""B_HIGH_VALUE_PAINT""]",True,B_HIGH_VALUE_PAINT
pvg_door_window_doorgarage6_8_2d33c81d,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_2/CyberCity_Core_Tiles_2/DoorGarage6_8.png,DoorGarage6_8.png,DOOR_WINDOW,door_window,151,199,143,197,49.62,"[""B_HIGH_VALUE_PAINT""]",True,B_HIGH_VALUE_PAINT
pvg_tileset_atlas_fence1_1_ce8ff9d8,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_2/CyberCity_Core_Tiles_2/Fence1_1.png,Fence1_1.png,TILESET_ATLAS,atlas_or_large_sheet,685,241,681,235,31.52,"[""A_PRIMARY_ATLAS"", ""B_HIGH_VALUE_PAINT""]",True,"A_PRIMARY_ATLAS, B_HIGH_VALUE_PAINT"
pvg_tileset_atlas_fence1_2_3557e96c,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_2/CyberCity_Core_Tiles_2/Fence1_2.png,Fence1_2.png,TILESET_ATLAS,atlas_or_large_sheet,271,637,262,635,67.98,"[""A_PRIMARY_ATLAS"", ""B_HIGH_VALUE_PAINT""]",True,"A_PRIMARY_ATLAS, B_HIGH_VALUE_PAINT"
pvg_tileset_atlas_fence1_3_f39db493,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_2/CyberCity_Core_Tiles_2/Fence1_3.png,Fence1_3.png,TILESET_ATLAS,atlas_or_large_sheet,680,331,673,326,46.36,"[""A_PRIMARY_ATLAS"", ""B_HIGH_VALUE_PAINT""]",True,"A_PRIMARY_ATLAS, B_HIGH_VALUE_PAINT"
